congress,issue,mds
80,Agriculture,-0.21253849
81,Agriculture,-0.035726375
82,Agriculture,-0.243984259
83,Agriculture,0.063851479
84,Agriculture,0.498722218
85,Agriculture,0.519665144
86,Agriculture,0.085687652
87,Agriculture,-0.018292942
88,Agriculture,0.098493812
89,Agriculture,-0.162203216
90,Agriculture,0.098941294
91,Agriculture,-0.165590633
92,Agriculture,-0.360755411
93,Agriculture,-0.348747739
94,Agriculture,-0.291358902
95,Agriculture,0.087318615
96,Agriculture,-0.316686569
97,Agriculture,-0.345999305
98,Agriculture,-0.347441746
99,Agriculture,-0.055978761
100,Agriculture,-0.042639519
101,Agriculture,-0.533478278
102,Agriculture,-0.677455453
103,Agriculture,-0.598785949
104,Agriculture,-0.470372645
105,Agriculture,-0.397655021
106,Agriculture,-0.500134584
107,Agriculture,-0.579470842
108,Agriculture,-0.517516128
109,Agriculture,-0.645024334
110,Agriculture,-0.669158892
111,Agriculture,-0.793920364
112,Agriculture,-0.550942613
113,Agriculture,-0.677681147
114,Agriculture,-0.791523231
80,Civil.Rights,-0.414845369
81,Civil.Rights,-0.419219611
82,Civil.Rights,-0.390466366
83,Civil.Rights,-0.446960356
84,Civil.Rights,-0.460114973
85,Civil.Rights,-0.396673661
86,Civil.Rights,-0.42490475
87,Civil.Rights,-0.420356561
88,Civil.Rights,-0.264060098
89,Civil.Rights,-0.491224884
90,Civil.Rights,-0.469531259
91,Civil.Rights,-0.627532415
92,Civil.Rights,-0.712217357
93,Civil.Rights,-0.45453866
94,Civil.Rights,-0.611088145
95,Civil.Rights,-0.60636888
96,Civil.Rights,-0.657486328
97,Civil.Rights,-0.67782681
98,Civil.Rights,-0.760330798
99,Civil.Rights,-0.839179368
100,Civil.Rights,-0.849744695
101,Civil.Rights,-0.733163895
102,Civil.Rights,-0.751091915
103,Civil.Rights,-0.664394344
104,Civil.Rights,-0.410388886
105,Civil.Rights,-0.381675772
106,Civil.Rights,-0.639345193
107,Civil.Rights,-0.634696109
108,Civil.Rights,-0.670539377
109,Civil.Rights,-0.696356785
110,Civil.Rights,-0.682941773
111,Civil.Rights,-0.689830686
112,Civil.Rights,-0.527408114
113,Civil.Rights,-0.514033969
114,Civil.Rights,-0.33053125
80,Commerce,-0.066040406
81,Commerce,-0.093612146
82,Commerce,-0.150144159
83,Commerce,-0.18226695
84,Commerce,-0.052291972
85,Commerce,0.084142898
86,Commerce,0.025617958
87,Commerce,-0.016387427
88,Commerce,-0.094868273
89,Commerce,0.050693157
90,Commerce,-0.087842544
91,Commerce,0.035125286
92,Commerce,-0.017742069
93,Commerce,0.36570327
94,Commerce,0.277549
95,Commerce,0.227551935
96,Commerce,0.525667554
