Cong,Economics,Civil Rights,Health,Agriculture,Labor,Education,Environment,Energy,Immigration,Transportation,Law.Crime,Welfare,Housing,Commerce,Defense,Science,Trade,International Affairs,Government Operations,Public Lands
80,15,2,9,12,8,12,5,4,10,36,14,2,6,16,106,2,13,13,112,114
81,20,2,4,18,4,5,8,2,5,32,24,7,7,17,75,1,14,17,125,142
82,28,0,1,11,3,2,3,3,15,22,19,7,3,15,57,0,17,6,66,84
83,18,1,5,12,5,13,2,4,4,25,8,4,5,15,73,4,17,7,92,125
84,22,2,7,24,1,13,3,6,2,33,13,3,3,31,101,4,20,13,97,137
85,17,1,3,21,6,12,5,10,3,34,16,9,1,13,67,1,29,3,100,120
86,30,2,9,21,4,3,7,8,4,33,13,6,4,30,81,6,23,10,86,112
87,10,2,13,24,10,6,5,8,1,35,30,6,8,25,89,7,17,14,99,111
88,12,2,14,14,5,5,5,4,3,15,13,9,4,18,71,4,20,11,93,93
89,25,1,14,18,11,14,6,8,2,34,34,5,5,17,120,3,24,17,98,74
90,13,2,9,12,2,14,6,4,3,34,17,4,4,15,42,6,13,7,80,61
91,31,3,13,17,8,7,10,5,2,33,9,4,6,10,64,6,23,9,69,80
92,12,4,11,15,4,8,14,8,0,27,12,7,6,6,37,8,3,6,57,66
93,7,3,7,11,12,9,12,15,0,18,10,11,3,10,36,5,19,18,75,56
94,11,4,10,14,11,10,17,15,0,31,12,15,6,20,29,9,10,15,63,41
95,21,4,10,11,15,8,20,8,0,28,14,6,5,18,24,12,23,17,52,63
96,17,4,7,13,11,7,13,12,0,24,10,7,3,13,24,6,12,12,66,63
97,8,1,6,11,4,5,15,7,0,16,11,3,4,17,23,2,6,5,29,48
98,5,2,13,11,10,7,11,6,0,12,14,3,2,13,22,7,5,6,50,63
99,6,3,8,4,8,3,11,4,0,10,17,8,3,16,15,6,4,10,43,55
100,5,3,11,14,3,7,22,9,0,16,15,5,5,16,18,9,5,10,60,91
101,4,6,17,7,6,9,11,4,0,15,9,7,6,19,23,5,3,14,58,60
102,3,6,15,8,8,8,8,3,0,11,14,4,4,13,29,9,5,11,70,60
103,1,3,5,6,6,7,12,3,0,10,9,8,3,17,19,3,9,5,62,49
104,3,5,14,7,6,2,14,20,0,7,8,3,0,15,14,1,8,13,52,33
105,3,4,10,3,9,8,13,13,0,10,16,2,0,17,14,5,2,12,35,41
106,2,1,10,6,13,3,13,5,0,10,14,3,3,13,20,5,9,12,112,97
107,5,2,11,3,9,6,8,4,0,4,11,1,2,14,18,10,3,19,86,60
108,4,0,13,6,10,9,11,1,0,11,13,8,3,15,21,8,6,15,114,54
109,6,3,15,3,3,11,13,6,0,12,13,6,1,23,19,2,4,11,117,44
110,6,3,17,7,2,7,5,1,0,10,16,0,2,15,19,4,6,8,153,19
111,5,1,11,2,4,1,3,2,0,16,10,4,3,26,16,4,4,9,115,12
112,1,1,6,1,5,4,3,5,0,16,13,2,0,14,17,3,10,7,67,20
113,2,0,14,1,3,3,6,10,2,10,10,1,1,12,14,1,0,9,81,29
114,0,1,11,2,0,2,4,0,0,9,3,1,0,4,13,2,0,4,30,5
Total,378,84,353,370,229,250,324,227,56,699,484,181,121,568,1430,170,386,375,2764,2382
