issue,mds,congress
Civil.Rights.Sponsored,-0.414845369,80
Government.Operations,1.48730436,80
Civil.Rights.Sponsored,-0.419219611,81
Government.Operations,1.905255902,81
Civil.Rights.Sponsored,-0.390466366,82
Government.Operations,1.779299839,82
Civil.Rights.Sponsored,-0.446960356,83
Government.Operations,1.714702458,83
Civil.Rights.Sponsored,-0.460114973,84
Government.Operations,1.758442157,84
Civil.Rights.Sponsored,-0.396673661,85
Government.Operations,1.91333633,85
Civil.Rights.Sponsored,-0.42490475,86
Government.Operations,2.032652452,86
Civil.Rights.Sponsored,-0.420356561,87
Government.Operations,2.09111192,87
Civil.Rights.Sponsored,-0.264060098,88
Government.Operations,2.368484126,88
Civil.Rights.Sponsored,-0.491224884,89
Government.Operations,2.029289523,89
Civil.Rights.Sponsored,-0.469531259,90
Government.Operations,2.508182114,90
Civil.Rights.Sponsored,-0.627532415,91
Government.Operations,2.223814306,91
Civil.Rights.Sponsored,-0.712217357,92
Government.Operations,1.778431241,92
Civil.Rights.Sponsored,-0.45453866,93
Government.Operations,1.956914647,93
Civil.Rights.Sponsored,-0.611088145,94
Government.Operations,2.104358807,94
Civil.Rights.Sponsored,-0.60636888,95
Government.Operations,1.839300238,95
Civil.Rights.Sponsored,-0.657486328,96
Government.Operations,1.673455423,96
Civil.Rights.Sponsored,-0.67782681,97
Government.Operations,1.845444844,97
Civil.Rights.Sponsored,-0.760330798,98
Government.Operations,1.677471588,98
Civil.Rights.Sponsored,-0.839179368,99
Government.Operations,1.671078987,99
Civil.Rights.Sponsored,-0.849744695,100
Government.Operations,1.505581102,100
Civil.Rights.Sponsored,-0.733163895,101
Government.Operations,1.322690295,101
Civil.Rights.Sponsored,-0.751091915,102
Government.Operations,1.306638114,102
Civil.Rights.Sponsored,-0.664394344,103
Government.Operations,1.662516722,103
Civil.Rights.Sponsored,-0.410388886,104
Government.Operations,1.7440278,104
Civil.Rights.Sponsored,-0.381675772,105
Government.Operations,0.531424161,105
Civil.Rights.Sponsored,-0.639345193,106
Government.Operations,1.149920573,106
Civil.Rights.Sponsored,-0.634696109,107
Government.Operations,1.049674547,107
Civil.Rights.Sponsored,-0.670539377,108
Government.Operations,1.059473469,108
Civil.Rights.Sponsored,-0.696356785,109
Government.Operations,0.740951852,109
Civil.Rights.Sponsored,-0.682941773,110
Government.Operations,0.902089587,110
Civil.Rights.Sponsored,-0.689830686,111
Government.Operations,1.373037483,111
Civil.Rights.Sponsored,-0.527408114,112
Government.Operations,0.715213413,112
Civil.Rights.Sponsored,-0.514033969,113
Government.Operations,1.457005374,113
Civil.Rights.Sponsored,-0.33053125,114
Government.Operations,1.034005013,114
Civil.Rights.Plaw,-0.444610865,80
Civil.Rights.Plaw,-0.429591916,81
Civil.Rights.Plaw,-0.538723629,82
Civil.Rights.Plaw,-0.437188489,83
Civil.Rights.Plaw,-0.454093239,84
Civil.Rights.Plaw,-0.475507541,85
Civil.Rights.Plaw,-0.507320383,86
Civil.Rights.Plaw,-0.510680886,87
Civil.Rights.Plaw,-0.460935606,88
Civil.Rights.Plaw,-0.54857908,89
Civil.Rights.Plaw,-0.516520829,90
Civil.Rights.Plaw,-0.524111222,91
Civil.Rights.Plaw,-0.456293119,92
Civil.Rights.Plaw,-0.526876824,93
Civil.Rights.Plaw,-0.645013396,94
Civil.Rights.Plaw,-0.636521614,95
Civil.Rights.Plaw,-0.490163558,96
Civil.Rights.Plaw,-0.616455133,97
Civil.Rights.Plaw,-0.494960792,98
Civil.Rights.Plaw,-0.449032947,99
Civil.Rights.Plaw,-0.430700544,100
Civil.Rights.Plaw,-0.351249486,101
Civil.Rights.Plaw,-0.324420833,102
Civil.Rights.Plaw,-0.395179247,103
Civil.Rights.Plaw,-0.354449977,104
Civil.Rights.Plaw,-0.451515504,105
Civil.Rights.Plaw,-0.386277698,106
Civil.Rights.Plaw,-0.390484736,107
Civil.Rights.Plaw,-0.441979852,108
Civil.Rights.Plaw,-0.343897939,109
Civil.Rights.Plaw,-0.256492121,110
Civil.Rights.Plaw,-0.32209099,111
Civil.Rights.Plaw,-0.41745209,112
Civil.Rights.Plaw,-0.409024176,113
Civil.Rights.Plaw,-0.354450096,114
