issue,mds,congress
Health.Sponsored,-0.347409743,80
Government.Operations,1.48730436,80
Health.Sponsored,-0.278123043,81
Government.Operations,1.905255902,81
Health.Sponsored,-0.34697949,82
Government.Operations,1.779299839,82
Health.Sponsored,-0.465535332,83
Government.Operations,1.714702458,83
Health.Sponsored,-0.43473932,84
Government.Operations,1.758442157,84
Health.Sponsored,-0.57088256,85
Government.Operations,1.91333633,85
Health.Sponsored,-0.507942269,86
Government.Operations,2.032652452,86
Health.Sponsored,-0.317458762,87
Government.Operations,2.09111192,87
Health.Sponsored,-0.04854194,88
Government.Operations,2.368484126,88
Health.Sponsored,-0.008858276,89
Government.Operations,2.029289523,89
Health.Sponsored,-0.087842544,90
Government.Operations,2.508182114,90
Health.Sponsored,0.225510238,91
Government.Operations,2.223814306,91
Health.Sponsored,0.675043497,92
Government.Operations,1.778431241,92
Health.Sponsored,0.716407417,93
Government.Operations,1.956914647,93
Health.Sponsored,0.811932148,94
Government.Operations,2.104358807,94
Health.Sponsored,0.76417811,95
Government.Operations,1.839300238,95
Health.Sponsored,0.599614671,96
Government.Operations,1.673455423,96
Health.Sponsored,0.14482888,97
Government.Operations,1.845444844,97
Health.Sponsored,0.22357503,98
Government.Operations,1.677471588,98
Health.Sponsored,0.777427013,99
Government.Operations,1.671078987,99
Health.Sponsored,0.997967784,100
Government.Operations,1.505581102,100
Health.Sponsored,1.159311154,101
Government.Operations,1.322690295,101
Health.Sponsored,0.926183059,102
Government.Operations,1.306638114,102
Health.Sponsored,0.901459343,103
Government.Operations,1.662516722,103
Health.Sponsored,1.074209155,104
Government.Operations,1.7440278,104
Health.Sponsored,0.597623907,105
Government.Operations,0.531424161,105
Health.Sponsored,1.80502932,106
Government.Operations,1.149920573,106
Health.Sponsored,1.550646616,107
Government.Operations,1.049674547,107
Health.Sponsored,1.646062592,108
Government.Operations,1.059473469,108
Health.Sponsored,1.456397893,109
Government.Operations,0.740951852,109
Health.Sponsored,1.445135114,110
Government.Operations,0.902089587,110
Health.Sponsored,1.568599909,111
Government.Operations,1.373037483,111
Health.Sponsored,0.614015069,112
Government.Operations,0.715213413,112
Health.Sponsored,1.595196325,113
Government.Operations,1.457005374,113
Health.Sponsored,2.002088173,114
Government.Operations,1.034005013,114
Health.PLaw,-0.31245477,80
Health.PLaw,-0.394451473,81
Health.PLaw,-0.508959893,82
Health.PLaw,-0.353715747,83
Health.PLaw,-0.362357231,84
Health.PLaw,-0.433333923,85
Health.PLaw,-0.350185751,86
Health.PLaw,-0.276618813,87
Health.PLaw,-0.165936818,88
Health.PLaw,-0.268911314,89
Health.PLaw,-0.281738634,90
Health.PLaw,-0.223760951,91
Health.PLaw,-0.179751835,92
Health.PLaw,-0.374710232,93
Health.PLaw,-0.350710706,94
Health.PLaw,-0.362748877,95
Health.PLaw,-0.369631536,96
Health.PLaw,-0.309761037,97
Health.PLaw,-0.004459106,98
Health.PLaw,-0.190968035,99
Health.PLaw,-0.169669911,100
Health.PLaw,0.122829575,101
Health.PLaw,0.021116149,102
Health.PLaw,-0.305873202,103
Health.PLaw,0.15595799,104
Health.PLaw,-0.056027471,105
Health.PLaw,-0.176217318,106
Health.PLaw,-0.092657395,107
Health.PLaw,-0.085101711,108
Health.PLaw,-0.016376092,109
Health.PLaw,0.042748687,110
Health.PLaw,-0.039555034,111
Health.PLaw,-0.178908039,112
Health.PLaw,0.138950797,113
Health.PLaw,0.644000879,114
